Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2049,"The High Window (Philip Marlowe, #3)",Raymond Chandler,"Chandler, Raymond",,"=""0394758269""","=""9780394758268""",0,Vintage Crime/Black Lizard,Paperback,272,1992,1942,,2026/03/07,"to-read, looking-for","to-read (#441), looking-for (#18)",to-read,,,,0,0
18246433,"Αντίο, γλυκιά μου (Philip Marlowe, #2)",Raymond Chandler,"Chandler, Raymond",Ανδρέας Αποστολίδης,"=""9603251186""","=""9789603251187""",0,Εκδόσεις Άγρα,Paperback,432,1985,1940,,2025/04/03,"to-read, looking-for","to-read (#319), looking-for (#17)",to-read,,,,0,0
17205442,Μοιραία,Jean-Patrick Manchette,"Manchette, Jean-Patrick",Ειρήνη Τσολακέλλη,"=""9603256366""","=""9789603256366""",0,Άγρα,Paperback,170,2006,1977,,2026/03/07,to-read,to-read (#440),to-read,,,,0,0
59902503,"Φοβάμαι, ταυρομάχε",Pedro Lemebel,"Lemebel, Pedro",Κώστας Αθανασίου,"=""9600369283""","=""9789600369281""",5,Καστανιώτης,Paperback,242,2021,2001,2026/03/07,2025/08/10,,,read,,,,1,0
72003507,Μπορούμε και καλύτερα: Ζώντας και μεγαλώνοντας εκτός ετεροκανονικότητας,Rubén  Serrano,"Serrano, Rubén",Κατερίνα Μποσινάκη,"=""618857465X""","=""9786188574656""",0,Oposito,Paperback,240,2022,,,2026/03/03,to-read,to-read (#439),to-read,,,,0,0
222059302,Ημερολόγιο Δεκεμβριανά: 20 Οκτωβρίου 1944 – 20 Φεβρουαρίου 1945,Βάλιας Σεμερτζίδης,"Σεμερτζίδης, Βάλιας",Νίκος Χατζηνικολάου,"=""6182300876""","=""9786182300879""",4,Πανεπιστημιακές Εκδόσεις Κρήτης,Paperback,304,2024,2024,2026/03/02,2025/01/17,,,read,,,,1,0
36613747,How to Change Your Mind: The New Science of Psychedelics,Michael Pollan,"Pollan, Michael",,"=""0241294223""","=""9780241294222""",0,ALLEN LANE,Hardcover,480,2018,2018,,2026/03/01,to-read,to-read (#438),to-read,,,,0,0
25202792,Πινγκ πονγκ – Καυτά κοψίματα και διαβολεμένα φάλτσα,Jerome Charyn,"Charyn, Jerome",Αντώνης Καλοκύρης,"=""9603258814""","=""9789603258810""",0,Εκδόσεις Άγρα,Paperback,304,2011,2002,,2026/02/27,to-read,to-read (#437),to-read,,,,0,0
60965426,The Creative Act: A Way of Being,Rick Rubin,"Rubin, Rick",,"=""0593652886""","=""9780593652886""",0,Penguin Press,Hardcover,406,2023,2023,,2026/02/27,to-read,to-read (#436),to-read,,,,0,0
241228077,Οι μεταλλάξεις,Jorge Comensal,"Comensal, Jorge","Χριστίνα Φιλήμονος, Γιώργος Κασαπίδης","=""618876453X""","=""9786188764538""",2,Carnivora,Paperback,200,2025,2016,2026/02/26,2026/01/26,,,read,,,,1,0
12768434,Γράμμα στον πατέρα,Franz Kafka,"Kafka, Franz",,"=""9602115343""","=""9789602115343""",0,Εκδόσεις Νεφέλη,Paperback,107,1987,1919,,2026/02/22,to-read,to-read (#435),to-read,,,,0,0
53441391,Ποιος σκότωσε τον πατέρα μου,Édouard Louis,"Louis, Édouard",Στέλα Ζουμπουλάκη,"=""6185267357""","=""9786185267353""",5,Εκδόσεις Αντίποδες,Paperback,72,2020,2018,2026/02/22,2026/01/01,,,read,,,,1,0
55898904,Οι Αργοναύτες,Maggie Nelson,"Nelson, Maggie","Μαρία Φακίνου, Εύα Πλιάκου","=""6185267438""","=""9786185267438""",0,Αντίποδες,Paperback,216,2020,2015,,2026/02/22,to-read,to-read (#434),to-read,,,,0,0
35162134,Φρίντα Κάλο: ¡Viva la vida!,Pino Cacucci,"Cacucci, Pino",Τιτίκα Δημητρούλια,"=""9605052792""","=""9789605052799""",0,Άγρα,Paperback,98,2017,2010,2026/02/19,2026/02/18,,,read,,,,1,0
221205444,Σου γράφω από την κοιλιά του κτήνους,Minos Efstathiadis,"Efstathiadis, Minos",Μίνως Ευσταθιάδης,"=""6180342547""","=""9786180342543""",4,Μεταίχμιο,Paperback,300,2024,2024,2026/02/18,2024/12/22,,,read,,,,1,0
154488299,"The Kamogawa Food Detectives (Kamogawa Food Detectives, #1)",Hisashi Kashiwai,"Kashiwai, Hisashi",Jesse Kirkwood,"=""0593717716""","=""9780593717714""",0,G.P. Putnam's Sons,Hardcover,201,2024,2013,,2026/02/16,to-read,to-read (#431),to-read,,,,0,0
58022080,Ο μεγάλος ύπνος (Philip Marlowe #1),Raymond Chandler,"Chandler, Raymond",,"=""9600451389""","=""9789600451382""",5,Κέδρος,Paperback,304,2021,1939,2026/02/16,2025/09/08,,,read,,,,1,0
238944937,Ο Αυτοκράτορας της χαράς,Ocean Vuong,"Vuong, Ocean",Δημήτρης Μαύρος,"=""960012678X""","=""9789600126785""",5,Εκδόσεις Gutenberg,Paperback,591,2025,2025,2026/02/10,2025/09/21,,,read,"What a journey that was...<br/>""It's ok"" to fail and get back up, fail as a parent, a student, an employee or an employer. ""It's ok"" to trust and find a family away from home when your own has failed you, but then again give a second chance and reconnect.<br/>Love how Vuong does not pick the easy way, he does not let you fall into trauma or tears but right in the right moment there is this goofy or angry or creepy distraction where you say ""Oh well, life goes on, I'll cry in the next scene"". <br/>A wonderful read...",,,1,0
14761047,"Ο διάβολος με το γαλάζιο φόρεμα (Easy Rawlins, #1)",Walter Mosley,"Mosley, Walter",Γιώργος-Ίκαρος Μπαμπασάκης,"=""9601625313""","=""9789601625317""",0,Πατάκη,Paperback,304,2006,1990,,2026/02/10,to-read,to-read (#430),to-read,,,,0,0
288993,City Primeval,Elmore Leonard,"Leonard, Elmore",,"=""""","=""""",0,Phoenix,Paperback,275,2005,1980,,2026/02/10,to-read,to-read (#429),to-read,,,,0,0
53410806,Τα αγόρια του Νίκελ,Colson Whitehead,"Whitehead, Colson",Μυρσίνη Γκανά,"=""9605723506""","=""9789605723507""",0,Ίκαρος,Paperback,264,2020,2019,,2026/02/10,to-read,to-read (#428),to-read,,,,0,0
377994,Dirty Work,Larry Brown,"Brown, Larry",,"=""1565125630""","=""9781565125636""",0,Algonquin Books,Paperback,247,2007,1989,,2026/02/10,to-read,to-read (#427),to-read,,,,0,0
38514475,Το δωμάτιο του Τζοβάνι,James Baldwin,"Baldwin, James",Τερέζα Βεκιαρέλλη,"=""6180314179""","=""9786180314175""",0,Μεταίχμιο,Paperback,248,2018,1956,,2026/02/10,to-read,to-read (#426),to-read,,,,0,0
181732055,"Η τριλογία της Κοπεγχάγης: Παιδική ηλικία, νιάτα, εξάρτηση",Tove Ditlevsen,"Ditlevsen, Tove",Κατερίνα Σχινά,"=""6180704953""","=""9786180704952""",0,Εκδόσεις Πατάκη,Paperback,480,2023,1971,,2026/02/06,"to-read, looking-for","to-read (#425), looking-for (#16)",to-read,,,,0,0
23146415,Ο τρίτος άνθρωπος,Graham Greene,"Greene, Graham",Ελένη Μαύρου,"=""9603220035""","=""9789603220039""",3,Αιγόκερως,Paperback,144,1987,1950,2026/02/03,2024/09/10,,,read,,,,1,0
42435596,Τίποτα,Janne Teller,"Teller, Janne",Θάνος Καραγιαννόπουλος,"=""9604365630""","=""9789604365630""",0,Οξύ,Paperback,176,2018,2000,,2026/02/01,to-read,to-read (#424),to-read,,,,0,0
214711052,Φούγκα για ένα προτεκτοράτο,Thomas Cantaloube,"Cantaloube, Thomas",Δημήτρης Δημακόπουλος,"=""9604358022""","=""9789604358021""",0,Πόλις,Paperback,424,2024,2021,,2026/01/31,to-read,to-read (#423),to-read,,,,0,0
58039491,Ρέκβιεμ για μια Δημοκρατία,Thomas Cantaloube,"Cantaloube, Thomas",Δημήτρης Δημακόπουλος,"=""9604357654""","=""9789604357659""",0,Πόλις,Paperback,544,2021,2019,,2026/01/31,to-read,to-read (#422),to-read,,,,0,0
42944654,Πατρίδα,Fernando Aramburu,"Aramburu, Fernando",Τιτίνα Σπερελάκη,"=""9601680969""","=""9789601680965""",0,Εκδόσεις Πατάκη,Paperback,720,2018,2016,,2026/01/31,to-read,to-read (#421),to-read,,,,0,0
238438528,Το αύριο και το αύριο και το αύριο,Gabrielle Zevin,"Zevin, Gabrielle",Αλέξης Καλοφωλιάς,"=""960168820X""","=""9789601688206""",0,Πατάκης,Paperback,544,2025,2022,,2026/01/31,to-read,to-read (#420),to-read,,,,0,0
